Date,Open,High,Low,Close,Adj Close,Volume
2019-05-15,25400.130859,25724.890625,25341.939453,25648.019531,25648.019531,270720000
2019-05-16,25692.140625,25957.630859,25692.140625,25862.679688,25862.679688,320960000
2019-05-17,25719.949219,25948.740234,25657.779297,25764.000000,25764.000000,283760000
2019-05-20,25655.310547,25751.710938,25560.550781,25679.900391,25679.900391,279560000
2019-05-21,25782.339844,25898.269531,25779.609375,25877.330078,25877.330078,260870000
2019-05-22,25818.460938,25878.210938,25755.109375,25776.609375,25776.609375,241760000
2019-05-23,25657.990234,25657.990234,25328.089844,25490.470703,25490.470703,316940000
2019-05-24,25551.070313,25670.810547,25496.199219,25585.689453,25585.689453,201370000
2019-05-28,25616.550781,25717.630859,25342.279297,25347.769531,25347.769531,358980000
2019-05-29,25231.460938,25231.460938,24938.240234,25126.410156,25126.410156,298930000
2019-05-30,25139.939453,25218.539063,25066.750000,25169.880859,25169.880859,215240000
2019-05-31,25046.310547,25046.310547,24809.509766,24815.039063,24815.039063,292230000
2019-06-03,24830.160156,24935.210938,24680.570313,24819.779297,24819.779297,328240000
2019-06-04,24962.820313,25343.769531,24962.820313,25332.179688,25332.179688,281690000
2019-06-05,25451.000000,25544.660156,25373.580078,25539.570313,25539.570313,262660000
2019-06-06,25567.449219,25800.300781,25518.050781,25720.660156,25720.660156,248070000
2019-06-07,25768.720703,26072.750000,25768.720703,25983.939453,25983.939453,263010000
2019-06-10,26090.220703,26210.609375,26054.310547,26062.679688,26062.679688,249280000
2019-06-11,26180.589844,26248.669922,25998.869141,26048.509766,26048.509766,253490000
2019-06-12,26040.300781,26082.099609,25958.660156,26004.830078,26004.830078,223690000
2019-06-13,26036.939453,26146.910156,25995.710938,26106.769531,26106.769531,213400000
2019-06-14,26076.359375,26162.279297,25988.089844,26089.609375,26089.609375,208020000
